smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1[C@H](O)CN1CCC(=O)NN	1880906880	JSRZSEQAETTZNX-PHDIDXHHSA-N	173.216	-1.569	50	10	AAGE	
C[C@H](C(=O)NN)N1C[C@@H]2C(CO)[C@H]2C1	1929055637	WUSLFPWQGCPPIB-VQVTYTSYSA-N	199.254	-1.465	50	10	AAGE	
OB(O)c1cccc2c(O)n[nH]c12	1951330252	PYWZSJBVOZDSSN-UHFFFAOYSA-N	177.956	-1.052	50	10	AAGE	
C[C@H](C(=O)NN)N1CCN(C)[C@H]2C[C@@H]21	1956635681	CSCVVKQZNSXIEO-CSMHCCOUSA-N	198.270	-1.247	50	10	AAGE	
C[C@@H](NC(=O)C#CB(O)O)C(C)(C)N	2241478350	COAGOHSJBRXDDJ-ZCFIWIBFSA-N	198.031	-1.756	50	10	AAGE	
CN(C(=O)C#CB(O)O)[C@H]1CC[C@H]1N	2241478646	JLPHDRRFGLEPKT-RQJHMYQMSA-N	196.015	-2.050	50	10	AAGE	
C[C@H](C(=O)NN)N1CCO[C@H](C#N)C1	86656722	YGMDGMWCCUMBHW-RNFRBKRXSA-N	198.226	-1.411	50	10	AAGE	
O=C(O)[C@@H](O)[C@](O)(OO)C(=O)O	103835835	DONFFNSWBSKBRF-HDEYOGFKSA-N	182.084	-2.305	50	10	AAGE	
OB(O)c1ccnc(-n2ccnc2)n1	198083747	LTKCLLZNJDNLOA-UHFFFAOYSA-N	189.971	-1.658	50	10	AAGE	
N#Cc1c(O)cncc1B(O)O	238636850	UZKZDHLDADHIFH-UHFFFAOYSA-N	163.929	-1.661	50	10	AAGE	
O=C(O)[C@H]1C[C@H]1B(O)O	306366506	FXMXXTMWWQHMPE-STHAYSLISA-N	129.908	-1.066	50	10	AAGE	
N#C/C(C=NNC(N)=O)=C(\O)NC=O	394793222	OLXINOFQLRHWRX-KDRZKBSFSA-N	197.154	-1.320	50	10	AAGE	
CNC1CC(C(=O)NN)C1	575494099	LXPOGTBKUFQLJA-UHFFFAOYSA-N	143.190	-1.026	50	10	AAGE	
NNC(=O)CCN1C(=O)COC1=O	709015506	ZMIGCYWRJYNRDV-UHFFFAOYSA-N	187.155	-1.655	50	10	AAGE	
N#CC1=C(N)N(Cc2c#con2)NN1	885555318	LYJSBJNFXCBSJN-UHFFFAOYSA-N	190.166	-1.249	50	10	AAGE	
N#C[C@H](O)[C@@H]1CNCCO1	1880121164	OSPAPYZOHAITAV-WDSKDSINSA-N	142.158	-1.141	50	10	AAGE	
CN(C(=O)NN)[C@H]1CCC(=O)NC1	1882577015	LAGBITYLKQACJF-YFKPBYRVSA-N	186.215	-1.220	50	10	AAGE	
NNC(=O)C(=O)N1C[C@H]2COCC[C@@H]21	1890150827	JNQHQPJAOYTXPF-WDSKDSINSA-N	199.210	-1.776	50	10	AAGE	
C[C@@H]1[C@H](O)CCN1CCC(=O)NN	1914256322	OZIBYCNQJAIPOP-RNFRBKRXSA-N	187.243	-1.179	50	10	AAGE	
NNC(=O)C(=O)N1CC[C@@]12CCOC2	1915567505	JMANFNMSNJGBDR-QMMMGPOBSA-N	199.210	-1.632	50	10	AAGE	
C[C@H](C(=O)NN)N1CC2(CN(C)C2)C1	1932061827	ZIOXKOHRWOREPP-SSDOTTSWSA-N	198.270	-1.388	50	10	AAGE	
